REF_DATE,GEO,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (hectares),Total farm value (dollars)
1910,CA,"Beans, all dry (white and coloured)",63.0,1210.0,22550.0,18600.0,1417
1910,CA,Buckwheat,26.0,1070.0,156800.0,146450.0,4095
1910,CA,Corn for grain,21.0,3065.0,363600.0,118600.0,7664
1910,CA,Corn for silage,0.36,20630.0,2456000.0,119050.0,8775
1910,CA,Flaxseed,82.0,455.0,107850.0,236100.0,8870
1910,CA,Mixed grains,24.0,1545.0,267150.0,172750.0,6308
1910,CA,Oats,23.0,1080.0,3785150.0,3502600.0,86796
1910,CA,"Peas, dry",32.0,910.0,130450.0,143650.0,4196
1910,CA,"Rye, all",26.0,850.0,39900.0,46900.0,1038
1910,CA,Sugar beets,0.64,24700.0,170500.0,6900.0,1096
1910,CA,Tame hay,0.96,2820.0,9545000.0,3384000.0,91289
1910,CA,"Wheat, all",29.0,1000.0,3595200.0,3587950.0,104817
1910,NB,Barley,34.0,1190.0,1250.0,1050.0,42
1910,NB,"Beans, all dry (white and coloured)",73.0,1500.0,150.0,100.0,11
1910,NB,Buckwheat,24.0,1060.0,25050.0,23650.0,609
1910,NB,Corn for silage,0.45,20000.0,2000.0,100.0,9
1910,NB,Mixed grains,30.0,1335.0,400.0,300.0,12
1910,NB,Oats,27.0,1050.0,85400.0,81400.0,2332
1910,NB,"Peas, dry",40.0,1335.0,200.0,150.0,8
1910,NB,"Rye, all",0.0,1000.0,0.0,0.0,0
1910,NB,Tame hay,0.83,2380.0,607000.0,255000.0,5035
1910,NB,"Wheat, all",39.0,1030.0,5550.0,5400.0,218
1910,NS,Barley,37.0,1410.0,3100.0,2200.0,114
1910,NS,"Beans, all dry (white and coloured)",80.0,1165.0,350.0,300.0,28
1910,NS,Buckwheat,29.0,1170.0,4500.0,3850.0,132
1910,NS,Corn for silage,0.42,20000.0,5000.0,250.0,21
1910,NS,Mixed grains,31.0,1685.0,1600.0,950.0,49
1910,NS,Oats,32.0,1175.0,45850.0,38950.0,1466
1910,NS,"Peas, dry",60.0,1000.0,50.0,50.0,3
1910,NS,"Rye, all",50.0,500.0,100.0,200.0,5
1910,NS,Tame hay,0.99,3000.0,657000.0,219000.0,6533
1910,NS,"Wheat, all",38.0,1230.0,6100.0,4950.0,230
1910,ON,Barley,24.0,1505.0,306700.0,203600.0,7414
1910,ON,"Beans, all dry (white and coloured)",61.0,1205.0,19800.0,16400.0,1214
1910,ON,Buckwheat,23.0,1070.0,72550.0,67700.0,1699
1910,ON,Corn for grain,20.0,3145.0,349000.0,111000.0,7146
1910,ON,Corn for silage,0.34,21050.0,2084000.0,99000.0,7109
1910,ON,Flaxseed,65.0,590.0,2100.0,3550.0,136
1910,ON,Mixed grains,23.0,1650.0,216300.0,130900.0,4889
1910,ON,Oats,23.0,1195.0,1387000.0,1162000.0,31623
1910,ON,"Peas, dry",31.0,900.0,117350.0,130300.0,3655
1910,ON,"Rye, all",26.0,835.0,31300.0,37500.0,807
1910,ON,Sugar beets,0.65,25400.0,165200.0,6500.0,1067
1910,ON,Tame hay,0.96,3110.0,4103000.0,1320000.0,39526
1910,ON,"Wheat, all",32.0,1530.0,539900.0,352700.0,17090
1910,ON,"Wheat, spring",32.0,1205.0,53900.0,44700.0,1702
1910,SK,Barley,19.0,1290.0,67000.0,52000.0,1300
1910,SK,Corn for silage,0.6,333.0,1000.0,300.0,6
1910,SK,Flaxseed,83.0,480.0,98900.0,205000.0,8160
1910,SK,Mixed grains,25.0,1000.0,200.0,200.0,5
1910,SK,Oats,19.0,1190.0,909000.0,764000.0,17624
1910,SK,"Peas, dry",30.0,1000.0,100.0,100.0,3
1910,SK,"Rye, all",12.0,500.0,500.0,500.0,6
1910,SK,Tame hay,0.79,2050.0,41000.0,20000.0,322
1910,SK,"Wheat, all",28.0,1065.0,1823000.0,1711000.0,50213
1911,AB,Barley,19.0,1440.0,95000.0,66000.0,1783
1911,AB,Corn for silage,1.1,3330.0,1000.0,300.0,11
1911,AB,Flaxseed,47.0,660.0,28300.0,43000.0,1339
1911,AB,Mixed grains,21.0,1545.0,1700.0,1100.0,35
1911,AB,Oats,18.0,1840.0,910000.0,494000.0,16516
1911,AB,"Peas, dry",45.0,1000.0,200.0,200.0,9
1911,AB,"Rye, all",24.0,1665.0,10000.0,6000.0,240
1911,AB,Sugar beets,0.55,18100.0,12700.0,700.0,70
1911,AB,Tame hay,1.35,3770.0,264000.0,70000.0,3557
1911,AB,"Wheat, all",23.0,1500.0,995000.0,664000.0,22516
1911,BC,Barley,32.0,2275.0,2500.0,1100.0,81
1911,BC,"Beans, all dry (white and coloured)",95.0,1335.0,200.0,150.0,19
1911,BC,Corn for silage,0.83,15000.0,3000.0,200.0,25
1911,BC,Mixed grains,35.0,1500.0,1350.0,900.0,47
1911,BC,Oats,37.0,2005.0,36700.0,18300.0,1355
1911,BC,"Peas, dry",53.0,2000.0,1200.0,600.0,63
1911,BC,"Rye, all",0.0,0.0,0.0,0.0,0
1911,BC,Tame hay,1.95,5400.0,308000.0,57000.0,5996
1911,BC,"Wheat, all",36.0,1910.0,10500.0,5500.0,383
1911,CA,Barley,26.0,1575.0,968700.0,615550.0,24731
1911,CA,"Beans, all dry (white and coloured)",71.0,1290.0,27600.0,21400.0,1956
1911,CA,Buckwheat,30.0,1220.0,184350.0,151100.0,5443
1911,CA,Corn for grain,25.0,3730.0,487400.0,130700.0,12360
1911,CA,Corn for silage,0.54,20270.0,2433000.0,120050.0,13063
1911,CA,Flaxseed,59.0,720.0,392200.0,546050.0,23179
1911,CA,Mixed grains,30.0,1505.0,320550.0,212650.0,9528
1911,CA,Oats,24.0,1445.0,5640100.0,3901300.0,133256
1911,CA,"Peas, dry",38.0,1065.0,127000.0,119400.0,4770
1911,CA,"Rye, all",30.0,1200.0,64325.0,53600.0,1906
1911,CA,Sugar beets,0.73,19100.0,158800.0,8300.0,1154
1911,CA,Tame hay,1.28,3660.0,13015000.0,3554000.0,166806
1911,CA,"Wheat, all",24.0,1400.0,6293500.0,4490250.0,148318
1911,NB,Barley,19.0,1545.0,1700.0,1100.0,32
1911,NB,"Beans, all dry (white and coloured)",90.0,1335.0,200.0,150.0,18
1911,NB,Buckwheat,26.0,1420.0,37400.0,26350.0,979
1911,NB,Corn for silage,0.35,20000.0,2000.0,100.0,7
1911,NB,Mixed grains,29.0,1555.0,700.0,450.0,20
1911,NB,Oats,32.0,1100.0,92550.0,84000.0,3000
1911,NB,"Peas, dry",53.0,1500.0,450.0,300.0,24
1911,NB,"Rye, all",40.0,1000.0,25.0,0.0,1
1911,NB,Tame hay,0.9,3180.0,818000.0,257000.0,7333
1911,NB,"Wheat, all",39.0,1380.0,7800.0,5650.0,306
1911,NS,Barley,35.0,1380.0,3100.0,2250.0,109
1911,NS,"Beans, all dry (white and coloured)",78.0,1570.0,550.0,350.0,43
1911,NS,Buckwheat,30.0,1165.0,5600.0,4800.0,167
1911,NS,Corn for silage,0.68,16000.0,4000.0,250.0,27
1911,NS,Mixed grains,33.0,1445.0,2600.0,1800.0,86
1911,NS,Oats,34.0,1110.0,45150.0,40600.0,1551
1911,NS,"Peas, dry",47.0,1500.0,150.0,100.0,7
1911,NS,"Rye, all",35.0,1000.0,200.0,200.0,7
1911,NS,Tame hay,1.3,3820.0,830000.0,217000.0,10770
1911,NS,"Wheat, all",40.0,1415.0,7650.0,5400.0,309
1911,ON,Barley,32.0,1420.0,298800.0,210400.0,9608
1911,ON,"Beans, all dry (white and coloured)",70.0,1300.0,23800.0,18300.0,1671
1911,ON,Buckwheat,28.0,1150.0,83200.0,72300.0,2331
1911,ON,Corn for grain,25.0,3875.0,469000.0,121000.0,11629
1911,ON,Corn for silage,0.52,20590.0,2038000.0,99000.0,10628
1911,ON,Flaxseed,75.0,885.0,3100.0,3500.0,232
1911,ON,Mixed grains,29.0,1565.0,246300.0,157500.0,7121
1911,ON,Oats,29.0,1150.0,1306900.0,1135600.0,38134
1911,ON,"Peas, dry",36.0,1055.0,110400.0,104550.0,3935
1911,ON,"Rye, all",31.0,1120.0,44000.0,39200.0,1351
1911,ON,Sugar beets,0.74,19200.0,146100.0,7600.0,1084
1911,ON,Tame hay,1.53,3100.0,4421000.0,1425000.0,67731
1911,ON,"Wheat, all",32.0,1380.0,537000.0,389400.0,17231
1911,ON,"Wheat, spring",33.0,1165.0,61000.0,52400.0,2016
1911,SK,Barley,22.0,1705.0,189000.0,111000.0,4069
1911,SK,Corn for silage,0.74,1333.0,8000.0,600.0,59
1911,SK,Flaxseed,59.0,710.0,331200.0,467000.0,19559
1911,SK,Mixed grains,27.0,1625.0,1300.0,800.0,35
1911,SK,Oats,19.0,1755.0,1659000.0,944000.0,31187
1911,SK,"Peas, dry",45.0,1000.0,200.0,200.0,9
1911,SK,"Rye, all",16.0,2000.0,2000.0,1000.0,32
1911,SK,Tame hay,1.08,3350.0,67000.0,20000.0,724
1911,SK,"Wheat, all",21.0,1400.0,2975000.0,2127000.0,63407
1912,AB,Barley,15.0,1775.0,135000.0,76000.0,2039
1912,AB,Corn for silage,1.0,5000.0,1000.0,200.0,10
1912,AB,Flaxseed,36.0,810.0,43000.0,53000.0,1557
1912,AB,Mixed grains,20.0,1820.0,2000.0,1100.0,39
1912,AB,Oats,16.0,1765.0,1043000.0,591000.0,16231
1912,AB,"Peas, dry",32.0,1250.0,250.0,200.0,8
1912,AB,"Rye, all",21.0,1665.0,10000.0,6000.0,211
1912,AB,Sugar beets,0.57,14700.0,11800.0,800.0,67
1912,AB,Tame hay,1.01,4090.0,286000.0,70000.0,2900
1912,AB,"Wheat, all",20.0,1455.0,934000.0,643000.0,18459
1912,BC,Barley,30.0,2275.0,2500.0,1100.0,75
1912,BC,"Beans, all dry (white and coloured)",67.0,1000.0,150.0,150.0,10
1912,BC,Corn for silage,0.9,15000.0,3000.0,200.0,27
1912,BC,Mixed grains,32.0,1800.0,1800.0,1000.0,57
1912,BC,Oats,33.0,2125.0,38700.0,18200.0,1278
1912,BC,"Peas, dry",51.0,1915.0,1150.0,600.0,59
1912,BC,"Rye, all",0.0,0.0,0.0,0.0,0
1912,BC,Tame hay,1.92,5310.0,313000.0,59000.0,6021
1912,BC,"Wheat, all",36.0,2135.0,10900.0,5100.0,392
1912,CA,Barley,21.0,1680.0,1076500.0,640400.0,22354
1912,CA,"Beans, all dry (white and coloured)",80.0,1180.0,25050.0,21200.0,2008
1912,CA,Buckwheat,29.0,1420.0,229000.0,161350.0,6544
1912,CA,Corn for grain,24.0,3565.0,430100.0,120700.0,10534
1912,CA,Corn for silage,0.54,22660.0,2756000.0,121650.0,14977
1912,CA,Flaxseed,36.0,810.0,663800.0,817000.0,23608
1912,CA,Mixed grains,29.0,1750.0,351000.0,200800.0,10194
1912,CA,Oats,21.0,1500.0,6039750.0,4032900.0,126304
1912,CA,"Peas, dry",46.0,1010.0,106450.0,105200.0,4944
1912,CA,"Rye, all",28.0,1210.0,62000.0,51200.0,1755
1912,CA,Sugar beets,0.55,23700.0,182400.0,7700.0,1005
1912,CA,Tame hay,1.22,3330.0,11251000.0,3383000.0,137761
1912,CA,"Wheat, all",23.0,1370.0,6101350.0,4449450.0,139090
1912,NB,Barley,31.0,1455.0,1600.0,1100.0,49
1912,NB,"Beans, all dry (white and coloured)",120.0,1500.0,150.0,100.0,18
1912,NB,Buckwheat,28.0,1315.0,34050.0,25900.0,969
1912,NB,Corn for silage,0.8,10000.0,1000.0,100.0,8
1912,NB,Mixed grains,38.0,1375.0,550.0,400.0,21
1912,NB,Oats,34.0,1095.0,86450.0,78900.0,2972
1912,NB,"Peas, dry",60.0,1000.0,250.0,250.0,15
1912,NB,"Rye, all",0.0,0.0,0.0,0.0,0
1912,NB,Tame hay,1.12,3310.0,808000.0,244000.0,9018
1912,NB,"Wheat, all",28.0,1220.0,6400.0,5250.0,177
1912,NS,Barley,35.0,1550.0,3100.0,2000.0,110
1912,NS,"Beans, all dry (white and coloured)",92.0,1855.0,650.0,350.0,60
1912,NS,Buckwheat,30.0,1450.0,6450.0,4450.0,192
1912,NS,Corn for silage,0.54,20000.0,5000.0,250.0,27
1912,NS,Mixed grains,33.0,1905.0,3050.0,1600.0,102
1912,NS,Oats,34.0,1245.0,50400.0,40450.0,1732
1912,NS,"Peas, dry",60.0,1500.0,150.0,100.0,9
1912,NS,"Rye, all",40.0,1000.0,100.0,100.0,4
1912,NS,Tame hay,1.41,3540.0,747000.0,211000.0,10545
1912,NS,"Wheat, all",40.0,1370.0,7200.0,5250.0,286
1912,ON,Barley,28.0,1585.0,328600.0,207200.0,9207
1912,ON,"Beans, all dry (white and coloured)",78.0,1170.0,21800.0,18600.0,1706
1912,ON,Buckwheat,26.0,1440.0,118950.0,82600.0,3060
1912,ON,Corn for grain,24.0,3700.0,418000.0,113000.0,10044
1912,ON,Corn for silage,0.53,23880.0,2436000.0,102000.0,12997
1912,ON,Flaxseed,63.0,1000.0,3650.0,3650.0,231
1912,ON,Mixed grains,28.0,1845.0,276700.0,150100.0,7862
1912,ON,Oats,27.0,1330.0,1496800.0,1127000.0,39792
1912,ON,"Peas, dry",43.0,1005.0,91850.0,91450.0,3914
1912,ON,"Rye, all",29.0,1155.0,43500.0,37600.0,1283
1912,ON,Sugar beets,0.55,24700.0,170600.0,6900.0,938
1912,ON,Tame hay,1.33,3690.0,5096000.0,1381000.0,67566
1912,ON,"Wheat, all",34.0,1375.0,474500.0,345600.0,15937
1912,ON,"Wheat, spring",32.0,1265.0,61500.0,48600.0,1987
1912,SK,Barley,15.0,1770.0,209000.0,118000.0,3166
1912,SK,Corn for silage,0.8,400.0,2000.0,500.0,16
1912,SK,Flaxseed,35.0,815.0,585100.0,720000.0,20503
1912,SK,Mixed grains,29.0,1875.0,1500.0,800.0,44
1912,SK,Oats,15.0,1755.0,1813000.0,1034000.0,27033
1912,SK,"Peas, dry",37.0,1500.0,300.0,200.0,11
1912,SK,"Rye, all",32.0,1000.0,1000.0,1000.0,32
1912,SK,Tame hay,0.87,4200.0,84000.0,20000.0,728
1912,SK,"Wheat, all",21.0,1290.0,2911000.0,2259000.0,59910
1913,AB,Barley,14.0,1725.0,138000.0,80000.0,1964
1913,AB,Corn for silage,1.0,10000.0,2000.0,200.0,20
1913,AB,Flaxseed,47.0,700.0,29300.0,42000.0,1374
1913,AB,Mixed grains,17.0,1875.0,1500.0,800.0,25
1913,AB,Oats,16.0,1665.0,1103000.0,663000.0,17170
1913,AB,"Peas, dry",35.0,1000.0,200.0,200.0,7
1913,AB,"Rye, all",18.0,1665.0,10000.0,6000.0,183
1913,AB,Sugar beets,0.55,11400.0,9100.0,800.0,50
1913,AB,Tame hay,0.95,3890.0,272000.0,70000.0,2596
1913,AB,"Wheat, all",22.0,1530.0,935000.0,612000.0,21009
1913,BC,Barley,32.0,1900.0,1900.0,1000.0,60
1913,BC,"Beans, all dry (white and coloured)",90.0,1335.0,200.0,150.0,18
1913,BC,Corn for silage,1.2,15000.0,3000.0,200.0,36
1913,BC,Mixed grains,17.0,3150.0,3150.0,1000.0,54
1913,BC,Oats,38.0,2115.0,41500.0,19600.0,1561
1913,BC,"Peas, dry",56.0,1900.0,950.0,500.0,53
1913,BC,"Rye, all",0.0,0.0,0.0,0.0,0
1913,BC,Tame hay,1.85,5020.0,306000.0,61000.0,5656
1913,BC,"Wheat, all",37.0,1980.0,10500.0,5300.0,386
1913,CA,Barley,19.0,1610.0,1051700.0,652900.0,20144
1913,CA,"Beans, all dry (white and coloured)",69.0,1155.0,21750.0,18800.0,1505
1913,CA,Buckwheat,29.0,1185.0,182300.0,154050.0,5320
1913,CA,Corn for grain,25.0,3795.0,425900.0,112300.0,10781
1913,CA,Corn for silage,0.53,19340.0,2374000.0,122750.0,12506
1913,CA,Flaxseed,38.0,710.0,445500.0,628150.0,17084
1913,CA,Mixed grains,27.0,1680.0,322250.0,191700.0,8685
1913,CA,Oats,21.0,1480.0,6240300.0,4222550.0,128893
1913,CA,"Peas, dry",41.0,1215.0,107550.0,88650.0,4382
1913,CA,"Rye, all",26.0,1240.0,59000.0,47500.0,1524
1913,CA,Sugar beets,0.67,19500.0,134300.0,6900.0,906
1913,CA,Tame hay,1.27,3010.0,10066000.0,3346000.0,127506
1913,CA,"Wheat, all",25.0,1415.0,6305250.0,4458150.0,156462
1913,NB,Barley,32.0,1600.0,1600.0,1000.0,51
1913,NB,"Beans, all dry (white and coloured)",110.0,1000.0,100.0,100.0,11
1913,NB,Buckwheat,25.0,1500.0,38800.0,25900.0,962
1913,NB,Corn for silage,0.25,20000.0,2000.0,100.0,5
1913,NB,Mixed grains,30.0,1500.0,600.0,400.0,18
1913,NB,Oats,33.0,1160.0,91700.0,78900.0,3032
1913,NB,"Peas, dry",53.0,1500.0,300.0,200.0,16
1913,NB,"Rye, all",0.0,0.0,0.0,0.0,0
1913,NB,Tame hay,1.2,2710.0,633000.0,234000.0,7615
1913,NB,"Wheat, all",41.0,1390.0,7300.0,5250.0,301
1913,NS,Barley,35.0,1450.0,2900.0,2000.0,101
1913,NS,"Beans, all dry (white and coloured)",88.0,1715.0,600.0,350.0,53
1913,NS,Buckwheat,30.0,1360.0,6050.0,4450.0,183
1913,NS,Corn for silage,0.5,16000.0,4000.0,250.0,20
1913,NS,Mixed grains,32.0,1815.0,2900.0,1600.0,93
1913,NS,Oats,34.0,1235.0,50750.0,41100.0,1744
1913,NS,"Peas, dry",60.0,2000.0,200.0,100.0,12
1913,NS,"Rye, all",40.0,2000.0,200.0,100.0,8
1913,NS,Tame hay,1.27,3700.0,795000.0,215000.0,10135
1913,NS,"Wheat, all",42.0,1380.0,7250.0,5250.0,304
1913,ON,Barley,26.0,1620.0,317600.0,196300.0,8170
